epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,26306.1,0.91172,0.38941,1.04616,0.87131,0.83598,0.8744,0.48224,1.38164,0.61659,1.14516,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,26632.9,0.90401,0.38463,1.04143,0.87686,0.83294,0.87314,0.48405,1.38359,0.61713,1.14593,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,26955.3,0.89662,0.38277,1.03636,0.879,0.8359,0.87405,0.48361,1.38439,0.61645,1.14567,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,27262.2,0.89813,0.38396,1.04154,0.87189,0.8398,0.87513,0.48443,1.38382,0.61597,1.14518,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,27567.6,0.89257,0.38252,1.04162,0.87118,0.83916,0.87518,0.48372,1.38428,0.61602,1.14505,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,27868.9,0.89064,0.38118,1.03558,0.8735,0.83847,0.8747,0.48377,1.38431,0.61361,1.14481,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,28171.1,0.88218,0.37951,1.0282,0.87048,0.83916,0.87511,0.48401,1.38519,0.61366,1.14515,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,28473.6,0.88384,0.37814,1.03162,0.8691,0.83998,0.87431,0.48381,1.38483,0.61377,1.14478,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,28770.6,0.8771,0.37369,1.0284,0.87274,0.83662,0.87387,0.48318,1.38677,0.61345,1.14435,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,29070.9,0.87483,0.37383,1.02919,0.87809,0.83335,0.87458,0.4831,1.38848,0.61309,1.14546,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
